stat.question_id,stat.frontend_question_id,stat.question__title,stat.question__title_slug,stat.total_acs,stat.total_submitted
3229,2967,Minimum Cost to Make Array Equalindromic,minimum-cost-to-make-array-equalindromic,11987,55114
3228,3002,Maximum Size of a Set After Removals,maximum-size-of-a-set-after-removals,14147,31568
3225,2958,Length of Longest Subarray With at Most K Frequency,length-of-longest-subarray-with-at-most-k-frequency,138985,249465
3219,2948,Make Lexicographically Smallest Array by Swapping Elements,make-lexicographically-smallest-array-by-swapping-elements,8208,21108
3214,2943,Maximize Area of Square Hole in Grid,maximize-area-of-square-hole-in-grid,10845,30040
3213,2962,Count Subarrays Where Max Element Appears at Least K Times,count-subarrays-where-max-element-appears-at-least-k-times,124782,211002
3210,2947,Count Beautiful Substrings I,count-beautiful-substrings-i,18756,30491
3209,2944,Minimum Number of Coins for Fruits,minimum-number-of-coins-for-fruits,13553,30691
3202,2933,High-Access Employees,high-access-employees,20246,46148
3201,2929,Distribute Candies Among Children II,distribute-candies-among-children-ii,11507,33038
3200,2930,Number of Strings Which Can Be Rearranged to Contain Substring,number-of-strings-which-can-be-rearranged-to-contain-substring,5713,10314
3195,2938,Separate Black and White Balls,separate-black-and-white-balls,22047,41790
3192,2939,Maximum Xor Product,maximum-xor-product,8113,31773
3191,2925,Maximum Score After Applying Operations on a Tree,maximum-score-after-applying-operations-on-a-tree,11663,23960
3190,2934,Minimum Operations to Maximize Last Elements in Arrays,minimum-operations-to-maximize-last-elements-in-arrays,11543,25901
3189,2924,Find Champion II,find-champion-ii,23934,41565
3186,2909,Minimum Sum of Mountain Triplets II,minimum-sum-of-mountain-triplets-ii,22365,41467
3178,2919,Minimum Increment Operations to Make Array Beautiful,minimum-increment-operations-to-make-array-beautiful,12786,37618
3174,2914,Minimum Number of Changes to Make Binary String Beautiful,minimum-number-of-changes-to-make-binary-string-beautiful,18040,30339
3171,2918,Minimum Equal Sum of Two Arrays After Replacing Zeros,minimum-equal-sum-of-two-arrays-after-replacing-zeros,23234,67989
3170,2905,Find Indices With Index and Value Difference II,find-indices-with-index-and-value-difference-ii,17082,53203
3166,2910,Minimum Number of Groups to Create a Valid Assignment,minimum-number-of-groups-to-create-a-valid-assignment,11945,47690
3152,2874,Maximum Value of an Ordered Triplet II,maximum-value-of-an-ordered-triplet-ii,24852,60226
3151,2895,Minimum Processing Time,minimum-processing-time,30765,44893
3150,2904,Shortest and Lexicographically Smallest Beautiful String,shortest-and-lexicographically-smallest-beautiful-string,24070,62391
3142,2901,Longest Unequal Adjacent Groups Subsequence II,longest-unequal-adjacent-groups-subsequence-ii,10235,37770
3141,2875,Minimum Size Subarray in Infinite Array,minimum-size-subarray-in-infinite-array,18290,59553
3114,2865,Beautiful Towers I,beautiful-towers-i,22461,51781
3113,2866,Beautiful Towers II,beautiful-towers-ii,12348,35820
3106,2915,Length of the Longest Subsequence That Sums to Target,length-of-the-longest-subsequence-that-sums-to-target,17911,51619
3104,2860,Happy Students,happy-students,20991,40438
3095,2861,Maximum Number of Alloys,maximum-number-of-alloys,13354,35252
3094,2870,Minimum Number of Operations to Make Array Empty,minimum-number-of-operations-to-make-array-empty,171110,276021
3092,2850,Minimum Moves to Spread Stones Over Grid,minimum-moves-to-spread-stones-over-grid,20177,46236
3081,2856,Minimum Array Length After Pair Removals,minimum-array-length-after-pair-removals,20960,97962
3080,2871,Split Array Into Maximum Number of Subarrays,split-array-into-maximum-number-of-subarrays,15516,35498
3056,2849,Determine if a Cell Is Reachable at a Given Time,determine-if-a-cell-is-reachable-at-a-given-time,97751,273868
3046,2844,Minimum Operations to Make a Special Number,minimum-operations-to-make-a-special-number,24930,65788
3033,2896,Apply Operations to Make Two Strings Equal,apply-operations-to-make-two-strings-equal,11789,44619
3031,2906,Construct Product Matrix,construct-product-matrix,11333,36906
3026,2834,Find the Minimum Possible Sum of a Beautiful Array,find-the-minimum-possible-sum-of-a-beautiful-array,29851,76315
3018,2825,Make String a Subsequence Using Cyclic Increments,make-string-a-subsequence-using-cyclic-increments,33738,69008
3000,2817,Minimum Absolute Difference Between Elements With Constraint,minimum-absolute-difference-between-elements-with-constraint,24204,72742
2979,2830,Maximize the Profit as the Salesman,maximize-the-profit-as-the-salesman,20679,57615
2978,2840,Check if Strings Can be Made Equal With Operations II,check-if-strings-can-be-made-equal-with-operations-ii,25789,46530
2954,2841,Maximum Sum of Almost Unique Subarray,maximum-sum-of-almost-unique-subarray,23709,62933
2953,2857,Count Pairs of Points With Distance k,count-pairs-of-points-with-distance-k,10240,31986
2920,2808,Minimum Seconds to Equalize a Circular Array,minimum-seconds-to-equalize-a-circular-array,14892,56253
2916,2811,Check if it is Possible to Split Array,check-if-it-is-possible-to-split-array,28293,84416
2915,2845,Count of Interesting Subarrays,count-of-interesting-subarrays,13166,37918
2914,2812,Find the Safest Path in a Grid,find-the-safest-path-in-a-grid,19011,60676
2904,2826,Sorting Three Groups,sorting-three-groups,18714,44569
2903,2807,Insert Greatest Common Divisors in Linked List,insert-greatest-common-divisors-in-linked-list,66960,75766
2893,2786,Visit Array Positions to Maximize Score,visit-array-positions-to-maximize-score,18511,51892
2891,2779,Maximum Beauty of an Array After Applying Operation,maximum-beauty-of-an-array-after-applying-operation,24259,64353
2889,2768,Number of Black Blocks,number-of-black-blocks,7521,20839
2888,2780,Minimum Index of a Valid Split,minimum-index-of-a-valid-split,22724,36699
2887,2785,Sort Vowels in a String,sort-vowels-in-a-string,126343,155138
2883,2767,Partition String Into Minimum Beautiful Substrings,partition-string-into-minimum-beautiful-substrings,15032,28440
2882,2787,Ways to Express an Integer as Sum of Powers,ways-to-express-an-integer-as-sum-of-powers,17596,52548
2878,2772,Apply Operations to Make All Array Elements Equal to Zero,apply-operations-to-make-all-array-elements-equal-to-zero,11780,36141
2877,2800,Shortest String That Contains Three Strings,shortest-string-that-contains-three-strings,14968,49668
2873,2761,Prime Pairs With Target Sum,prime-pairs-with-target-sum,28039,83165
2872,2789,Largest Element in an Array after Merge Operations,largest-element-in-an-array-after-merge-operations,29202,62304
2871,2816,Double a Number Represented as a Linked List,double-a-number-represented-as-a-linked-list,158175,256657
2869,2771,Longest Non-decreasing Subarray From Two Arrays,longest-non-decreasing-subarray-from-two-arrays,22557,77903
2868,2762,Continuous Subarrays,continuous-subarrays,18465,45302
2867,2750,Ways to Split Array Into Good Subarrays,ways-to-split-array-into-good-subarrays,20091,59683
2858,2722,Join Two Arrays by ID,join-two-arrays-by-id,23480,43585
2856,2799,Count Complete Subarrays in an Array,count-complete-subarrays-in-an-array,37317,57739
2855,2770,Maximum Number of Jumps to Reach the Last Index,maximum-number-of-jumps-to-reach-the-last-index,25173,83061
2854,2746,Decremental String Concatenation,decremental-string-concatenation,7740,29332
2850,2745,Construct the Longest New String,construct-the-longest-new-string,18624,34898
